relu, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 1115.638030
kgate, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.046452
kgate, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 1031.654253
cnnc, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.048828
cnnc, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 1058.318537
rbfg, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.075545
rbfg, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 1907.235921
gmdhg, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.061204
gmdhg, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 1485.462211
lstm, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.077404
lstm, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 1574.413460
lstm_seq, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.057405
lstm_seq, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 1268.844399
sig, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.062631
sig, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 1369.449550
reg, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.061286
reg, trainN nasdaq0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 1404.726324

